"Statistic","CensusYear","Alphabetical List of Towns","UNIT","VALUE"
"Birthplace - Dublin (Number)","2016","Drumsna, Leitrim","Number","32"
"Birthplace - Dublin (Number)","2016","Duagh, Kerry","Number","3"
"Birthplace - Dublin (Number)","2016","Dublin city and suburbs, Dublin","Number","763881"
"Birthplace - Dublin (Number)","2016","Duleek, Meath","Number","1109"
"Birthplace - Dublin (Number)","2016","Dunboyne, Meath","Number","3441"
"Birthplace - Dublin (Number)","2016","Duncannon, Wexford","Number","18"
"Birthplace - Dublin (Number)","2016","Duncormick, Wexford","Number","8"
"Birthplace - Dublin (Number)","2016","Dundalk, Louth","Number","1846"
"Birthplace - Dublin (Number)","2016","Dunderrow, Cork","Number","9"
"Birthplace - Dublin (Number)","2016","Dunderry, Meath","Number","33"
"Birthplace - Dublin (Number)","2016","Dundrum, South Tipperary","Number","3"
"Birthplace - Dublin (Number)","2016","Dunfanaghy, Donegal","Number","6"
"Birthplace - Dublin (Number)","2016","Dungarvan, Waterford","Number","218"
"Birthplace - Dublin (Number)","2016","Dunhill, Waterford","Number","10"
"Birthplace - Dublin (Number)","2016","Dunkineely, Donegal","Number","14"
"Birthplace - Dublin (Number)","2016","Dunlavin, Wicklow","Number","269"
"Birthplace - Dublin (Number)","2016","Dunleer, Louth","Number","187"
"Birthplace - Dublin (Number)","2016","Dunmanway, Cork","Number","20"
"Birthplace - Dublin (Number)","2016","Dunmore, Galway","Number","17"
"Birthplace - Dublin (Number)","2016","Dunmore East, Waterford","Number","154"
"Birthplace - Dublin (Number)","2016","Dunshaughlin, Meath","Number","1618"
"Birthplace - Dublin (Number)","2016","Durrow, Laois","Number","57"
"Birthplace - Dublin (Number)","2016","Durrus, Cork","Number","8"
"Birthplace - Dublin (Number)","2016","Easky, Sligo","Number","11"
"Birthplace - Dublin (Number)","2016","Edenderry, Offaly","Number","1089"
"Birthplace - Dublin (Number)","2016","Elphin, Roscommon","Number","61"
"Birthplace - Dublin (Number)","2016","Emly, South Tipperary","Number","0"
"Birthplace - Dublin (Number)","2016","Emo, Laois","Number","25"
"Birthplace - Dublin (Number)","2016","Emyvale, Monaghan","Number","15"
"Birthplace - Dublin (Number)","2016","Enfield, Meath","Number","1211"
"Birthplace - Dublin (Number)","2016","Ennis, Clare","Number","927"
"Birthplace - Dublin (Number)","2016","Enniscorthy, Wexford","Number","738"
"Birthplace - Dublin (Number)","2016","Enniskerry, Wicklow","Number","840"
"Birthplace - Dublin (Number)","2016","Ennistymon, Clare","Number","43"
"Birthplace - Dublin (Number)","2016","Erril, Laois","Number","11"
"Birthplace - Dublin (Number)","2016","Eyrecourt, Galway","Number","5"
"Birthplace - Dublin (Number)","2016","Fahan, Donegal","Number","24"
"Birthplace - Dublin (Number)","2016","Farran, Cork","Number","9"
"Birthplace - Dublin (Number)","2016","Feakle, Clare","Number","18"
"Birthplace - Dublin (Number)","2016","Fedamore, Limerick","Number","4"
"Birthplace - Dublin (Number)","2016","Fenit, Kerry","Number","27"
"Birthplace - Dublin (Number)","2016","Fennagh, Carlow","Number","52"
"Birthplace - Dublin (Number)","2016","Ferbane, Offaly","Number","41"
"Birthplace - Dublin (Number)","2016","Fermoy, Cork","Number","125"
"Birthplace - Dublin (Number)","2016","Ferns, Wexford","Number","132"
"Birthplace - Dublin (Number)","2016","Fethard, South Tipperary","Number","32"
"Birthplace - Dublin (Number)","2016","Fethard-on-Sea, Wexford","Number","31"
"Birthplace - Dublin (Number)","2016","Fiddown, Kilkenny","Number","5"
"Birthplace - Dublin (Number)","2016","Fieries, Kerry","Number","18"
"Birthplace - Dublin (Number)","2016","Fountainstown, Cork","Number","29"
"Birthplace - Dublin (Number)","2016","Foxford, Mayo","Number","49"
"Birthplace - Dublin (Number)","2016","Foynes, Limerick","Number","14"
"Birthplace - Dublin (Number)","2016","Freemount, Cork","Number","2"
"Birthplace - Dublin (Number)","2016","Frenchpark, Roscommon","Number","44"
"Birthplace - Dublin (Number)","2016","Freshford, Kilkenny","Number","10"
"Birthplace - Dublin (Number)","2016","Galbally, Limerick","Number","7"
"Birthplace - Dublin (Number)","2016","Galway City and Suburbs, Galway","Number","3714"
"Birthplace - Dublin (Number)","2016","Garristown, Fingal","Number","268"
"Birthplace - Dublin (Number)","2016","Geashill, Offaly","Number","42"
"Birthplace - Dublin (Number)","2016","Glanworth, Cork","Number","7"
"Birthplace - Dublin (Number)","2016","Glassan, Westmeath","Number","11"
"Birthplace - Dublin (Number)","2016","Glasslough, Monaghan","Number","31"
"Birthplace - Dublin (Number)","2016","Glen, Limerick","Number","21"
"Birthplace - Dublin (Number)","2016","Glenamaddy, Galway","Number","11"
"Birthplace - Dublin (Number)","2016","Gleann Cholm Cille, Donegal","Number","10"
"Birthplace - Dublin (Number)","2016","Glenbeigh, Kerry","Number","13"
"Birthplace - Dublin (Number)","2016","Glencullen, Dún Laoghaire- Rathdown","Number","186"
"Birthplace - Dublin (Number)","2016","Glenealy, Wicklow","Number","226"
"Birthplace - Dublin (Number)","2016","Gleneely, Donegal","Number","2"
"Birthplace - Dublin (Number)","2016","Glengarriff, Cork","Number","8"
"Birthplace - Dublin (Number)","2016","Glenties, Donegal","Number","33"
"Birthplace - Dublin (Number)","2016","Glenville, Cork","Number","13"
"Birthplace - Dublin (Number)","2016","Glin, Limerick","Number","10"
"Birthplace - Dublin (Number)","2016","Gneevgullia, Kerry","Number","3"
"Birthplace - Dublin (Number)","2016","Gob an Choire, Mayo","Number","22"
"Birthplace - Dublin (Number)","2016","Golden, South Tipperary","Number","9"
"Birthplace - Dublin (Number)","2016","Goresbridge, Kilkenny","Number","12"
"Birthplace - Dublin (Number)","2016","Gorey, Wexford","Number","1950"
"Birthplace - Dublin (Number)","2016","Gormanston, Meath","Number","96"
"Birthplace - Dublin (Number)","2016","Gort, Galway","Number","93"
"Birthplace - Dublin (Number)","2016","Gort an Choirce, Donegal","Number","7"
"Birthplace - Dublin (Number)","2016","Gortnahoo, South Tipperary","Number","9"
"Birthplace - Dublin (Number)","2016","Gowran, Kilkenny","Number","59"
"Birthplace - Dublin (Number)","2016","Grahormac, Wexford","Number","59"
"Birthplace - Dublin (Number)","2016","Graiguenamanagh-Tinnahinch, Carlow and Kilkenny","Number","70"
"Birthplace - Dublin (Number)","2016","Granard, Longford","Number","50"
"Birthplace - Dublin (Number)","2016","Grange, Sligo","Number","43"
"Birthplace - Dublin (Number)","2016","Grangemore, Kildare","Number","75"
"Birthplace - Dublin (Number)","2016","Greencastle, Donegal","Number","25"
"Birthplace - Dublin (Number)","2016","Grenagh, Cork","Number","9"
"Birthplace - Dublin (Number)","2016","Greystones-Delgany, Wicklow","Number","8248"
"Birthplace - Dublin (Number)","2016","Gurteen, Sligo","Number","24"
"Birthplace - Dublin (Number)","2016","Hacketstown, Carlow","Number","126"
"Birthplace - Dublin (Number)","2016","Halfway, Cork","Number","6"
"Birthplace - Dublin (Number)","2016","Headford, Galway","Number","32"
"Birthplace - Dublin (Number)","2016","Holycross, North Tipperary and South Tipperary","Number","34"
"Birthplace - Dublin (Number)","2016","Hospital, Limerick","Number","8"
"Birthplace - Dublin (Number)","2016","Inagh, Clare","Number","9"
"Birthplace - Dublin (Number)","2016","Inchigeelagh, Cork","Number","2"
"Birthplace - Dublin (Number)","2016","Inistioge, Kilkenny","Number","24"
"Birthplace - Dublin (Number)","2016","Inniscrone, Sligo","Number","69"
"Birthplace - Dublin (Number)","2016","Innishannon, Cork","Number","44"
"Birthplace - Dublin (Number)","2016","Inniskeen, Monaghan","Number","8"
"Birthplace - Dublin (Number)","2016","Irishtown, Mayo","Number","8"
"Birthplace - Dublin (Number)","2016","Jenkinstown, Louth","Number","11"
"Birthplace - Dublin (Number)","2016","Johnstown, Kildare","Number","559"
"Birthplace - Dublin (Number)","2016","Johnstown, Kilkenny","Number","11"
"Birthplace - Dublin (Number)","2016","Johnstownbridge, Kildare","Number","265"
"Birthplace - Dublin (Number)","2016","Julianstown, Meath","Number","242"
"Birthplace - Dublin (Number)","2016","Kanturk, Cork","Number","25"
"Birthplace - Dublin (Number)","2016","Keadew, Roscommon","Number","6"
"Birthplace - Dublin (Number)","2016","Keel-Dooagh, Mayo","Number","34"
"Birthplace - Dublin (Number)","2016","Keenagh, Longford","Number","57"
"Birthplace - Dublin (Number)","2016","Kells, Kilkenny","Number","20"
"Birthplace - Dublin (Number)","2016","Kenmare, Kerry","Number","123"
"Birthplace - Dublin (Number)","2016","Kentstown, Meath","Number","529"
"Birthplace - Dublin (Number)","2016","Kernanstown, Carlow","Number","7"
"Birthplace - Dublin (Number)","2016","Keshcarrigan, Leitrim","Number","20"
"Birthplace - Dublin (Number)","2016","Kilbeggan, Westmeath","Number","91"
"Birthplace - Dublin (Number)","2016","Kilberry, Kildare","Number","39"
"Birthplace - Dublin (Number)","2016","Kilbrin, Cork","Number","2"
"Birthplace - Dublin (Number)","2016","Kilbrittain, Cork","Number","4"
"Birthplace - Dublin (Number)","2016","Kilcloon, Meath","Number","84"
"Birthplace - Dublin (Number)","2016","Kilcock, Kildare","Number","2219"
"Birthplace - Dublin (Number)","2016","Kilcolgan, Galway","Number","4"
"Birthplace - Dublin (Number)","2016","Kilcoole, Wicklow","Number","1744"
"Birthplace - Dublin (Number)","2016","Kilcormac (Frankford), Offaly","Number","23"
"Birthplace - Dublin (Number)","2016","Kilcrohane, Cork","Number","2"
"Birthplace - Dublin (Number)","2016","Kilcullen, Kildare","Number","1309"
"Birthplace - Dublin (Number)","2016","Kilcummin, Kerry","Number","14"
"Birthplace - Dublin (Number)","2016","Kildalkey, Meath","Number","280"
"Birthplace - Dublin (Number)","2016","Kildangan, Kildare","Number","78"
"Birthplace - Dublin (Number)","2016","Kildare, Kildare","Number","2389"
"Birthplace - Dublin (Number)","2016","Kildavin, Carlow","Number","25"
"Birthplace - Dublin (Number)","2016","Kildimo, Limerick","Number","9"
"Birthplace - Dublin (Number)","2016","Kildorrery, Cork","Number","4"
"Birthplace - Dublin (Number)","2016","Kildrum, Donegal","Number","4"
"Birthplace - Dublin (Number)","2016","Kildysart, Clare","Number","12"
"Birthplace - Dublin (Number)","2016","Kilfenora, Clare","Number","9"
"Birthplace - Dublin (Number)","2016","Kilfinane, Limerick","Number","13"
"Birthplace - Dublin (Number)","2016","Kilflynn, Kerry","Number","7"
"Birthplace - Dublin (Number)","2016","Kilgarvan, Kerry","Number","2"
"Birthplace - Dublin (Number)","2016","Kilkee, Clare","Number","31"
"Birthplace - Dublin (Number)","2016","Kilkelly, Mayo","Number","10"
"Birthplace - Dublin (Number)","2016","Kilkenny, Kilkenny","Number","1660"
"Birthplace - Dublin (Number)","2016","Kilkishen, Clare","Number","10"
"Birthplace - Dublin (Number)","2016","Kill, Kildare","Number","1770"
"Birthplace - Dublin (Number)","2016","Kill, Waterford","Number","9"
"Birthplace - Dublin (Number)","2016","Killala, Mayo","Number","35"
"Birthplace - Dublin (Number)","2016","Killaloe, Clare","Number","58"
"Birthplace - Dublin (Number)","2016","Killarney, Kerry","Number","407"
"Birthplace - Dublin (Number)","2016","Killashee, Longford","Number","22"
"Birthplace - Dublin (Number)","2016","Killavullen, Cork","Number","2"
"Birthplace - Dublin (Number)","2016","Killeagh, Cork","Number","14"
"Birthplace - Dublin (Number)","2016","Killeigh, Offaly","Number","11"
"Birthplace - Dublin (Number)","2016","Killenard, Laois","Number","187"
"Birthplace - Dublin (Number)","2016","Killenaule, South Tipperary","Number","8"
"Birthplace - Dublin (Number)","2016","Killeshandra, Cavan","Number","21"
"Birthplace - Dublin (Number)","2016","Killimor, Galway","Number","10"
"Birthplace - Dublin (Number)","2016","Killinierin, Wexford","Number","66"
"Birthplace - Dublin (Number)","2016","Killorglin, Kerry","Number","78"
"Birthplace - Dublin (Number)","2016","Killucan-Rathwire, Westmeath","Number","352"
"Birthplace - Dublin (Number)","2016","Killumney, Cork","Number","17"
"Birthplace - Dublin (Number)","2016","Killurin, Offaly","Number","0"
"Birthplace - Dublin (Number)","2016","Killurin, Wexford","Number","17"
"Birthplace - Dublin (Number)","2016","Killybegs, Donegal","Number","35"
"Birthplace - Dublin (Number)","2016","Killygordan, Donegal","Number","9"
"Birthplace - Dublin (Number)","2016","Kilmacanogue, Wicklow","Number","464"
"Birthplace - Dublin (Number)","2016","Kilmacow, Kilkenny","Number","6"
"Birthplace - Dublin (Number)","2016","Kilmacrennan, Donegal","Number","12"
"Birthplace - Dublin (Number)","2016","Kilmacthomas, Waterford","Number","11"
"Birthplace - Dublin (Number)","2016","Kilmaine, Mayo","Number","4"
"Birthplace - Dublin (Number)","2016","Kilmainham, Meath","Number","55"
"Birthplace - Dublin (Number)","2016","Kilmaley, Clare","Number","3"
"Birthplace - Dublin (Number)","2016","Kilmallock, Limerick","Number","19"
"Birthplace - Dublin (Number)","2016","Kilmead, Kildare","Number","66"
"Birthplace - Dublin (Number)","2016","Kilmeaden, Waterford","Number","8"
"Birthplace - Dublin (Number)","2016","Kilmeage, Kildare","Number","333"
"Birthplace - Dublin (Number)","2016","Kilmessan, Meath","Number","228"
"Birthplace - Dublin (Number)","2016","Kilmihill, Clare","Number","29"
"Birthplace - Dublin (Number)","2016","Kilmoganny, Kilkenny","Number","10"
"Birthplace - Dublin (Number)","2016","Kilmore, Wexford","Number","21"
"Birthplace - Dublin (Number)","2016","Kilmore Quay, Wexford","Number","26"
"Birthplace - Dublin (Number)","2016","Kilmuckeridge (Ford), Wexford","Number","236"
"Birthplace - Dublin (Number)","2016","Kilmurry, Clare","Number","17"
"Birthplace - Dublin (Number)","2016","Kilmyshall, Wexford","Number","15"
"Birthplace - Dublin (Number)","2016","Kilnaleck, Cavan","Number","23"
"Birthplace - Dublin (Number)","2016","Kilpedder, Wicklow","Number","658"
"Birthplace - Dublin (Number)","2016","Kilrane, Wexford","Number","82"
"Birthplace - Dublin (Number)","2016","Kilrush, Clare","Number","91"
"Birthplace - Dublin (Number)","2016","Kilsheelan, South Tipperary","Number","29"
"Birthplace - Dublin (Number)","2016","Kilteel, Kildare","Number","113"
"Birthplace - Dublin (Number)","2016","Kilteely, Limerick","Number","0"
"Birthplace - Dublin (Number)","2016","Kiltimagh, Mayo","Number","47"
"Birthplace - Dublin (Number)","2016","Kilworth, Cork","Number","24"
"Birthplace - Dublin (Number)","2016","Kingscourt, Cavan","Number","182"
"Birthplace - Dublin (Number)","2016","Kinlough, Leitrim","Number","53"
"Birthplace - Dublin (Number)","2016","Kinnegad, Westmeath","Number","932"
"Birthplace - Dublin (Number)","2016","Kinnitty, Offaly","Number","32"
"Birthplace - Dublin (Number)","2016","Kinsale, Cork","Number","279"
"Birthplace - Dublin (Number)","2016","Kinsaley, Fingal","Number","186"
"Birthplace - Dublin (Number)","2016","Kinsealy-Drinan, Fingal","Number","4475"
"Birthplace - Dublin (Number)","2016","Kinvara, Galway","Number","60"
"Birthplace - Dublin (Number)","2016","Knightstown, Kerry","Number","32"
"Birthplace - Dublin (Number)","2016","Knock, Mayo","Number","59"
"Birthplace - Dublin (Number)","2016","Knockananna, Wicklow","Number","37"
"Birthplace - Dublin (Number)","2016","Knockbridge, Louth","Number","22"
"Birthplace - Dublin (Number)","2016","Knockcroghery, Roscommon","Number","39"
"Birthplace - Dublin (Number)","2016","Knockglass, Cork","Number","27"
"Birthplace - Dublin (Number)","2016","Knocklong, Limerick","Number","6"
"Birthplace - Dublin (Number)","2016","Knocknagree, Cork","Number","3"
"Birthplace - Dublin (Number)","2016","Knockraha, Cork","Number","6"
"Birthplace - Dublin (Number)","2016","Knocktopher, Kilkenny","Number","10"
"Birthplace - Dublin (Number)","2016","Lackaghbeg, Galway","Number","19"
"Birthplace - Dublin (Number)","2016","Ladytown, Kildare","Number","172"
"Birthplace - Dublin (Number)","2016","Laghy, Donegal","Number","3"
"Birthplace - Dublin (Number)","2016","Lahardane, Mayo","Number","9"
"Birthplace - Dublin (Number)","2016","Lahinch, Clare","Number","51"
"Birthplace - Dublin (Number)","2016","Lanesborough-Ballyleague, Longford and Roscommon","Number","98"
"Birthplace - Dublin (Number)","2016","Laragh, Wicklow","Number","92"
"Birthplace - Dublin (Number)","2016","Lawcus-Stoneyford, Kilkenny","Number","33"
"Birthplace - Dublin (Number)","2016","Laytown-Bettystown-Mornington-Donacarney, Meath","Number","4643"
"Birthplace - Dublin (Number)","2016","Leap, Cork","Number","10"
"Birthplace - Dublin (Number)","2016","Legan, Longford","Number","17"
"Birthplace - Dublin (Number)","2016","Leighlinbridge, Carlow","Number","76"
"Birthplace - Dublin (Number)","2016","Leitrim, Leitrim","Number","63"
"Birthplace - Dublin (Number)","2016","Leixlip, Kildare","Number","6603"
